invoice_id,customer_id,project_id,invoice_date,due_date,payment_date,subtotal,tax_rate,tax_amount,total,currency,status,payment_method,notes,terms
INV-000001,4182,PRJ-01197,2023-03-29,2023-05-13,,182360.32,0.08,14588.83,196949.15,USD,Sent,,,Net 30
INV-000002,1323,PRJ-00524,2023-08-17,2023-10-01,,43922.35,0.08,3513.79,47436.14,USD,Sent,,Source them investment myself car left bag.,Net 45
INV-000003,2351,PRJ-00273,2023-03-25,2023-04-09,,64702.03,0.08,5176.16,69878.19,USD,Draft,,,Net 45
INV-000004,4688,PRJ-00646,2021-10-03,2021-10-18,2021-10-11,168145.03,0.08,13451.6,181596.63,USD,Paid,Wire Transfer,Away power white alone teacher executive it address.,Net 30
INV-000005,3461,PRJ-00600,2021-07-21,2021-09-19,2021-09-11,118344.98,0.08,9467.6,127812.58,USD,Paid,Wire Transfer,Whole industry possible place single partner.,Net 60
INV-000006,3382,PRJ-00937,2021-08-06,2021-08-21,,12091.45,0.08,967.32,13058.77,USD,Overdue,,After organization white body.,Net 30
INV-000007,2094,,2021-11-11,2021-11-26,,102097.91,0.08,8167.83,110265.74,USD,Draft,,Every visit large sign new.,Net 45
INV-000008,483,PRJ-00434,2024-01-13,2024-02-27,2024-02-20,58115.28,0.08,4649.22,62764.5,USD,Paid,Bank Transfer,Identify information time try unit partner.,Net 45
INV-000009,307,PRJ-00611,2023-04-18,2023-05-18,,193888.06,0.08,15511.04,209399.1,USD,Sent,,,Net 15
INV-000010,4596,PRJ-00659,2023-05-25,2023-06-09,,188894.12,0.08,15111.53,204005.65,USD,Draft,,,Net 15
INV-000011,2949,PRJ-01175,2024-11-09,2024-12-24,2024-12-19,117062.9,0.08,9365.03,126427.93,USD,Paid,PayPal,,Net 60
INV-000012,912,PRJ-00693,2021-01-30,2021-03-16,,182308.04,0.08,14584.64,196892.68,USD,Sent,,,Net 15
INV-000013,968,PRJ-00224,2024-07-25,2024-09-23,,154591.78,0.08,12367.34,166959.12,USD,Sent,,,Net 15
INV-000014,2039,PRJ-00728,2021-04-16,2021-05-16,,109772.54,0.08,8781.8,118554.34,USD,Overdue,,,Net 45
INV-000015,1019,PRJ-00249,2021-02-07,2021-04-08,,118011.21,0.08,9440.9,127452.11,USD,Draft,,,Net 45
INV-000016,601,PRJ-01118,2024-11-15,2024-11-30,,175567.29,0.08,14045.38,189612.67,USD,Draft,,Another various man off positive civil unit.,Net 45
INV-000017,3346,PRJ-00365,2020-01-29,2020-03-29,,27523.6,0.08,2201.89,29725.489999999998,USD,Overdue,,,Net 15
INV-000018,1418,PRJ-00428,2020-08-20,2020-10-04,,73268.61,0.08,5861.49,79130.1,USD,Sent,,,Net 60
INV-000019,3780,PRJ-00408,2021-06-12,2021-06-27,,34604.43,0.08,2768.35,37372.78,USD,Sent,,Brother occur increase position than style.,Net 15
INV-000020,1513,PRJ-00523,2024-09-04,2024-11-03,,79016.93,0.08,6321.35,85338.28,USD,Overdue,,,Net 15
INV-000021,1650,PRJ-00773,2020-04-29,2020-05-29,,20262.5,0.08,1621.0,21883.5,USD,Sent,,,Net 45
INV-000022,119,PRJ-00005,2021-02-12,2021-02-27,2021-03-02,168718.24,0.08,13497.46,182215.69999999998,USD,Paid,Credit Card,,Net 15
INV-000023,2812,PRJ-01133,2023-06-30,2023-08-14,2023-08-12,121213.57,0.08,9697.09,130910.66,USD,Paid,Check,,Net 30
INV-000024,3488,PRJ-00058,2021-08-07,2021-10-06,,62764.73,0.08,5021.18,67785.91,USD,Draft,,Gun son actually.,Net 30
INV-000025,3027,PRJ-00501,2022-05-23,2022-07-22,2022-07-14,182158.07,0.08,14572.65,196730.72,USD,Paid,Check,,Net 15
INV-000026,27,PRJ-00717,2022-08-24,2022-10-23,,76666.47,0.08,6133.32,82799.79000000001,USD,Sent,,,Net 45
INV-000027,2138,PRJ-00489,2023-08-10,2023-10-09,,113923.02,0.08,9113.84,123036.86,USD,Overdue,,,Net 30
INV-000028,2789,PRJ-00997,2022-12-03,2022-12-18,,184889.28,0.08,14791.14,199680.41999999998,USD,Draft,,,Net 30
INV-000029,344,PRJ-00127,2024-11-19,2025-01-18,,173816.83,0.08,13905.35,187722.18,USD,Cancelled,,,Net 45
INV-000030,3166,PRJ-00509,2023-03-25,2023-05-24,,88085.42,0.08,7046.83,95132.25,USD,Overdue,,,Net 30
INV-000031,4931,PRJ-00366,2024-11-13,2025-01-12,,53173.1,0.08,4253.85,57426.95,USD,Cancelled,,,Net 45
INV-000032,2522,PRJ-00242,2021-11-14,2021-11-29,2021-11-25,40408.69,0.08,3232.7,43641.39,USD,Paid,PayPal,,Net 30
INV-000033,1863,PRJ-00331,2023-03-22,2023-05-21,,197200.88,0.08,15776.07,212976.95,USD,Cancelled,,Character hard low make interesting civil.,Net 30
